  ŠIFRANT   LOOB         ŠIFRANT UPRAVNIH ENOT IN STARIH OBÈIN
  120                    KLEŠÈE
  121                    KLJUÈ
  122                    KLJUÈAVNICE IN BLAGAJNE
  123                    KMETIJSKI PROIZVODI
  124                    KMETIJSKO ORODJE STROJI
  126                    KNJIGA
  127                    KOCKA
  128                    KOKAIN
  129                    KOLO
  130                    KOLO S POMOŽNIM MOTORJEM
  131                    KOLO Z MOTORJEM
  132                    KOMBINIRANO VOZILO
  133                    KOMERCIALNI ZAPIS
  134                    KONDOM
  135                    KOVANCI
  136                    KOZMETIÈNA SREDSTVA IN PROIZVODI
  137                    KRAMP
  138                    KREDIT
  139                    KREDITNE KARTICE
  140                    KULTURNI PREDMETI
  141                    KURILNO OLJE
  142                    LADJA
  143                    LAŽNA LISTINA
  144                    LEDVICE
  145                    LEPILNI TRAK
  146                    LETAKI
  147                    LETALO
  148                    LISTEK Z NOMINALNO VREDNOSTJO ZA PLAÈILO STORITEV
  149                    LISTIÈ ZA GLASOVANJE
  150                    LISTINA O REZULTATIH GLASOVANJA
  151                    LISTINA O REZULTATIH VOLITEV
  152                    LISTINE
  153                    LOK
  154                    LOVSKA PUŠKA
  155                    LOVSKO OROŽJE
  156                    LSD
  157                    MALOKALIBRSKA PIŠTOLA
  158                    MALOKALIBRSKA PUŠKA
  159                    MALOKALIBRSKO OROŽJE
  160                    MASKA
  161                    MASKIRNA KAPA
  162                    MEDICINSKI PRIBOR IN OPREMA
  163                    MEDNARODNA ZNAMENJA
  164                    MEHKUŽCI
  165                    MEJNIK
  166                    MENICE
  167                    MERILNI INSTRUMENTI IN NAPRAVE
  168                    MESEÈNE VOZOVNICE
  169                    METADON
  170                    METAMFETAMIN
  171                    MOBILNI TELEFON
  172                    MODEM
  173                    MODRA RIBA
  174                    MORFIN
  175                    MORSKE ŽIVALI
  176                    MORSKI RAK
  177                    MOTORNA ŽAGA
  178                    MOTORNI ZMAJ
  179                    MOTORNO KOLO
  180                    MREŽA
  181                    MUZEJSKI PREDMETI
  182                    NAFTA
  183                    NAFTNI DERIVATI
  184                    NAFTOVOD
  185                    NAKIT
  186                    NAPENJALA
  187                    NAPRAVE
  188                    NAPRAVE IN PRIPRAVE
  189                    NAPRAVE NAMENJENEMU SISTEMU ZVEZ
  190                    NARAVNA SNOV IN TVORBA (LED VODA KAMEN)
  191                    NARAVNI STRUP
  192                    NATIÈNI KLJUÈ
  193                    NAVIGACIJSKE NAPRAVE
  194                    NEKONVENCIONALNO OROŽJE
  195                    NEPREMIÈNINE
  196                    NEPREMOŽENJSKA KORIST
  197                    NEVARNE SNOVI
  198                    NEVARNI ODPADKI
  199                    NI PREDMETA
  200                    NOGAVICE
  201                    NOŽ
  202                    NOŽ METULJÈEK
  203                    NOŽ NA VZMET
  204                    NUKLEARNI STROJI
  205                    OBLAÈILA
  206                    OBRAÈUNSKI LISTI
  207                    OBUTEV
  208                    OBVEZNICE
  209                    OFFSET OPREMA
  210                    OGOREK
  211                    OKSIDIRAJOÈE SNOVI
  212                    OLJE
  213                    OMAMNA SREDSTVA
  214                    OPIJ
  215                    OPOROKA
  216                    OPTIKA IN FOTOGRAFSKI PRIPOMOÈKI
  217                    ORGANSKI PEROKSIDI
  218                    ORIGINAL KLJUÈ
  219                    ORODJE
  220                    ORODJE IN PRIBOR
  221                    OROŽJE
  222                    OROŽJE S TETIVO
  223                    OSEBNI AVTOMOBIL
  224                    OSEBNI DNEVNIK
  225                    OSNOVNA SREDSTVA
  226                    OSTALE PREPOVEDANE DROGE   NEUPORABA V MEDICINI
  227                    OSTALE PREPOVEDANE DROGE   UPORABA V MEDICINI
  228                    PAS
  229                    PAST
  230                    PEÈAT
  231                    PERUTNINA
  232                    PETROLEJ
  233                    PIJAÈA
  234                    PISEMSKE POŠILJKE
  235                    PISMO
  236                    PIŠTOLA
  237                    PIŠTOLA Z DUŠILCEM
  238                    PITNA VODA
  239                    PLAÈILNE KARTICE
  240                    PLAKAT
  241                    PLASTIÈNA ZATEGA
  242                    PLEMENITE KOVINE
  243                    PLINOVOD
  244                    PLINSKO OROŽJE IN SREDSTVA
  245                    PLOVILA
  246                    PODMORSKI KABEL
  247                    POGODBE
  248                    POHIŠTVO
  249                    POLAVTOMATSKA PUŠKA
  250                    POLJŠÈINE
  251                    POLOŽNICA
  252                    POMIÈNI KLJUÈ
  253                    PONAREJEN KLJUÈ
  254                    PONAREJENE LISTINE
  255                    PONAREJENE LISTINE IN DOKUMENTI
  256                    PONAREJENI DOKUMENTI
  257                    PORNOGRAFSKO GRADIVO
  258                    POSLOVNA BILANCA
  259                    POSLOVNE LISTINE
  260                    POŠILJKA
  261                    POŠTNA VREDNOTNICA (ZNAMKA)
  262                    POŠTNE POŠILJKE
  263                    PREDELANO OROŽJE
  264                    PREDHODNE SESTAVINE   PREKURZORJI
  265                    PREDMETI DOMAÈE OBRTI
  266                    PREDMETI IZ GUME
  267                    PREDMETI IZ KOVINE
  268                    PREDMETI IZ LESA
  269                    PREDMETI IZ PAPIRJA
  270                    PREDMETI IZ PLASTIKE
  271                    PREDMETI IZ STEKLA
  272                    PREDMETI POLNJENI Z EKSPLOZIVNIMI SNOVMI
  273                    PREDMETI ZA DETEKCIJO
  274                    PREMIÈNINE
  275                    PREPARAT
  276                    PREPOVEDANE DROGE
  277                    PREVOZNA SREDSTVA
  278                    PRIBOR IN OPREMA
  279                    PRIKOLICA
  280                    PRIPOMOÈKI ZA UŽIVANJE DROG
  281                    PRIREJEN SKRITI PROSTOR
  282                    PROGRAMSKA OPREMA
  283                    PROJEKTNI DOKUMENTI
  284                    PROJEKTOR
  285                    PROMETNO DOVOLJENJE
  286                    PROMETNO SREDSTVO
  287                    PROSPEKT
  288                    PRTLJAGA
  289                    PUŠKA
  290                    PUŠKA Z DUŠILCEM
  291                    RAÈUNALNIŠKA OPREMA IN SREDSTVA
  292                    RAÈUNALNIŠKI PROGRAM
  293                    RAÈUNALNIŠKO OMREŽJE
  294                    RADIJSKA ODDAJA
  295                    RADIJSKE ZVEZE
  296                    RADIO
  297                    RADIOAKTIVNE SNOVI
  298                    RADIOKASETOFON
  299                    RADIOTELEGRAFSKE NAPRAVE
  300                    RAKI
  301                    RASTLINE
  302                    RAZPRŠILCI
  303                    RAZSTRELILNE SNOVI
  304                    RECEPT
  305                    RELIGIOZNI PREDMETI
  306                    RENTGENSKI APARATI
  307                    REVIJA
  308                    RIBJE IKRE
  309                    RISBA
  310                    ROÈNA BOMBA
  311                    ROÈNO ORODJE
  312                    ROKAVICE
  313                    ROKOPIS
  314                    SADNA DREVESA
  315                    SAKRALNI PREDMETI
  316                    SAMOSTREL
  317                    SAMOVNETLJIVE SNOVI
  318                    SEKIRA
  319                    SERVER
  320                    SINTETIÈNI STRUP
  321                    SLADKOVODNE ŽIVALI
  322                    SLIKA
  323                    SLIKARSKO DELO
  324                    SLUŽBENA IZKAZNICA
  325                    SMOLA KANABISA (HAŠIŠ)
  326                    SNEŽNI PLAZ
  327                    SNOVI KI RAZVIJAJO V STIKU Z VODO VNETLJIVE PLINE
  328                    SOLZILEC
  329                    SPECIALNA SREDSTVA ZA ODPIRANJE IN BRANJE
  330                    SPECIALNA SREDSTVA ZA ODPIRANJE PISEM
  331                    SPECIALNA SREDSTVA ZA PRISLUŠKOVANJE
  332                    SPECIALNO SREDSTVO ZA SLIKOVNO SNEMANJE
  333                    SPECIALNO VLOMILSKO ORODJE
  334                    SPIS
  335                    SRCE
  336                    SREDSTVA JAVNEGA OBVEŠÈANJA
  337                    SREDSTVA ZA VEZANJE IN VKLEPANJE
  338                    STAVBNO POHIŠTVO
  339                    STISNJENI PLINI UTEKOÈINJENI PLINI IN POD TLAKOM RAZTOPLJENI PLINI
  340                    STRELIVO
  341                    STRELNO OROŽJE
  342                    STROJI
  343                    STRUPENE SNOVI
  344                    STRUPI
  345                    SUROVINE
  346                    SVEÈA
  347                    SVETLOBNA TELESA IN ZNAMENJA
  348                    ŠKOLJKE
  349                    ŠPORTNA OBLAÈILA IN OBUTEV
  350                    ŠPORTNO OROŽJE
  351                    ŠTAMPILJKA
  352                    TAKSNA VREDNOTNICA (KOLEK)
  353                    TAXI
  354                    TEKSTILNI PROIZVODI
  355                    TELEFON
  356                    TELEKOMUNIKACIJSKA SREDSTVA IN NAPRAVE
  357                    TELEVIZIJA
  358                    TELEVIZIJSKA ODDAJA
  359                    TISKARSKI STROJI IN OPREMA
  360                    TISKOVINE
  361                    TOBAÈNI IZDELKI IN PROIZVODI
  362                    TOP
  363                    TOPLOVOD
  364                    TOVORNE PRIKOLICE
  365                    TOVORNO VOZILO
  366                    TRAKTOR
  367                    UMETNIŠKI PREDMETI
  368                    UMETNIŠKO DELO
  369                    UNIFORME
  370                    USNJENI IZDELKI
  371                    VERIGA
  372                    VETERINARSKA OPREMA IN PRIPOMOÈKI
  373                    VIDEOKAMERA
  374                    VIDEOREKORDER
  375                    VILIÈASTI KLJUÈ
  376                    VIRMAN
  377                    VLAK
  378                    VLOMILSKA IGLA
  379                    VLOMILSKO ORODJE
  380                    VNETLJIVE SNOVI
  381                    VNETLJIVE TEKOÈINE
  382                    VNETLJIVE TRDNE SNOVI
  383                    VODA
  384                    VODNE ŽIVALI
  385                    VODOINSTALACIJSKI MATERIAL
  386                    VODOVOD
  387                    VOJAŠKA IZKAZNICA
  388                    VOJAŠKA VOZILA
  389                    VOJAŠKO OROŽJE
  390                    VOLILNA SKRINJICA
  391                    VOLILNI IMENIK
  392                    VOLILNI LISTIÈ
  393                    VOZILA
  394                    VOZILA IN PLOVILA
  395                    VOZNIŠKO DOVOLJENJE
  396                    VREDNOSTI PAPIRJI
  397                    VREDNOTNICE
  398                    VRV VRVICA
  399                    VŽIGALICE
  400                    VŽIGALNA SREDSTVA OGNJEMETNI PREDMETI IN DRUGI PREDMETI
  401                    VŽIGALNI IN GOREÈI PREDMETI
  402                    VŽIGALNIK
  403                    ZALIVKA
  404                    ZANKA
  405                    ZAPISNIK
  406                    ZASEBNA LISTINA
  407                    ZASEBNA PISANJA
  408                    ZASTAVA OZN
  409                    ZASTAVA RDEÈEGA KRIŽA
  410                    ZAVAROVALNA POLICA
  411                    ZDRAVILA
  412                    ZDRAVNIŠKA POTRDILA
  413                    ZDRAVSTVENA DOKUMENTACIJA
  414                    ZEMELJSKI PLAZ
  415                    ZEMLJA
  416                    ZEMLJEMERSKO ZNAMENJE NA NEPREMIÈNINI
  417                    ZEMLJEVID
  418                    ZGIBANKE
  419                    ZNAMENJE OZN
  420                    ZNAMENJE RDEÈEGA KRIŽA
  421                    ZNANSTVENO DELO
  422                    ŽABE
  423                    ŽICA
  424                    ŽIÈNE LAMELE
  425                    ŽIG
  426                    ŽIG PEÈAT
  427                    ŽIGI PEÈATI ŠTAMPILJKA
  428                    ŽIVALI
  429                    ŽIVINA
  430                    STROJNA OPREMA
  431                    DELI VOZILA
  433                    POTNI LIST
  434                    ŠPORTNA OPREMA (PRIPOMOÈKI, REKVIZITI)
  435                    PODATKOVNE BAZE
  436                    PORNOGRAFSKI PREDMET
  437                    KONOPLJA RASTLINA (MARIHUANA)
  438                    KONOPLJA RASTLINA (BILKA)
  439                    KONOPLJA EKSTRAKTI
  440                    KONOPLJA SMOLA (HAŠIŠ)
  441                    EKSTAZI
  442                    KONOPLJA TINKTURA
  443                    KONTEJNER ZABOJNIK

  ŠIFRANTA   KDKO        KRIMINALISTIÈNA OZNAÈBA
  1271                   DVOJNI
  1272                   MNOŽIÈNI
  1273                   SERIJSKI
  1274                   UMOR IN SAMOMOR
  1275                   PO NAROÈILU
  1276                   DOLGOTRAJNI SPOR
  128A                   ZARADI NAPADA   O
  128B                   ZARADI HUDE ŽALITVE   O
  131A                   NAPELJEVANJE K SAMOMORU   O
  131B                   POMOÈ PRI SAMOMORU   O
  1311                   BISTVENO ZMANJŠANA PRIŠTEVNOST ŽRTVE
  1312                   FIZIÈNO NASILJE NAD ŽRTVIJO
  1313                   PSIHIÈNO NASILJE NAD ŽRTVIJO
  132A                   PREKINITEV NOSEÈNOSTI   O
  132B                   NEDOKONÈANA PREKINITEV NOSEÈNOSTI   O
  132C                   POMOÈ PRI PREKINITVI NOSEÈNOSTI   O
  1321                   ZDRAVNIK V ZDRAVSTVENI USTANOVI
  1322                   ZDRAVNIK IZVEN ZDRAVSTVENE USTANOVE
  1323                   MAZAŠTVO
  133A                   ZAÈASNA OKVARA/OSLABITEV DELA TELESA/ORGANA   O
  133B                   ZAÈASNO ZMANJŠANA ZMOŽNOST ZA DELO   O
  133C                   PRIZADETA ZUNANJOST   O
  133D                   ZAÈASNA OKVARA ZDRAVJA(BOLEZEN)   O
  1331                   ZARADI SPORA, PREPIRA
  1332                   PRI DELU
  1333                   PO NAROÈILU
  1334                   PRI IZSILJEVANJU
  1335                   V SKUPINI
  134A                   POTENCIALNA NEVARNOST ZA ŽIVLJENJE   O
  134B                   UNIÈENJE/ZNATNA OSLABITEV DELA TELESA/ORGANA   O
  134C                   ZAÈASNA ZNATNA OSLABITEV POMEMBNEGA DELA TELESA/ORGANA   O
  134D                   ZAÈASNA NEZMOŽNOST ZA VSAKRŠNO DELO   O
  134E                   TRAJNO ZMANJŠANA ZMOŽNOST ZA DELO   O
  134F                   ZAÈASNO ZNATNO ZMANJŠANA ZMOŽNOST ZA DELO   O
  134G                   ZAÈASNA SKAŽENOST   O
  134H                   ZAÈASNO HUDO ALI ZA VSELEJ V MANJŠI MERI OKVARJENO ZDRAVJE   O
  1341                   ZARADI SPORA, PREPIRA
  1342                   PRI DELU
