   KDKO                   KD - KRIMINALISTIČNA OZNAČBA
   1597                   PIRATSTVO ELEKTRONSKIH OGLASNIH DESK
   1598                   PIRATSTVO NA INTERNETU
   1599                   AVDIO PIRATSTVO
   160A                   JAVNO ODDAJANJE(RADIO, TV) - O
   160B                   RAZMNOŽEVANJE - O
   160C                   DAJANJE V PROMET - O
   1601                   NEPOSREDNA IZVEDBA
   1602                   POSNETEK IZ IZVEDBE
   161A                   Z NEVPISOM V VOLILNI IMENIK-O
   161B                   S ČRTANJEM IZ VOLILNEGA IMENIKA- O
   1611                   NA LOKALNIH VOLITVAH
   1612                   NA DRŽAVNIH VOLITVAH
   162A                   S SILO- O
   162B                   Z RESNO GROŽNJO- O
   162C                   S PODKUPOVANJEM- O
   162D                   S PRESLEPITVIJO - O
   162E                   DRUG NEDOVOLJEN NAČIN - O
   1621                   PRI GLASOVANJU
   1622                   NA LOKALNIH VOLITVAH
   1623                   NA DRŽAVNIH VOLITVAH
   163A                   NAMESTO DRUGEGA - O
   163B                   VEČKRATNO - O
   1631                   PRI GLASOVANJU
   1632                   NA LOKALNIH VOLITVAH
   1633                   NA DRŽAVNIH VOLITVAH
   164A                   ZAHTEVANJE ODGOVORNOSTI - O
   164B                   ZAHTEVANJE POJASNILA - O
   1641                   PRI GLASOVANJU
   1642                   NA LOKALNIH VOLITVAH
   1643                   NA DRŽAVNIH VOLITVAH
   165A                   UNIČENJE - O
   165B                   POŠKODOVANJE - O
   165C                   PRIKRITJE - O
   165D                   PONAREDITEV - O
   1651                   PRI GLASOVANJU
   1652                   NA LOKALNIH VOLITVAH
   1653                   NA DRŽAVNIH VOLITVAH
   166A                   DODAJANJE GLASOVNIC/GLASOV - O
   166B                   ODVZEMANJE GLASOVNIC/GLASOV - O
   166C                   OBJAVA LAŽNEGA REZULTATA - O
   1661                   PRI GLASOVANJU
   1662                   NA LOKALNIH VOLITVAH
   1663                   NA DRŽAVNIH VOLITVAH
   167A                   PRI GLASOVANJU- O
   167B                   NA LOKALNIH VOLITVAH - O
   167C                   NA DRŽAVNIH VOLITVAH - O
   168A                   ZAHTEVANJE NAGRADE, DARILA... -O
   168B                   SPREJETJE NAGRADE, DARILA... -O
   1681                   PRI GLASOVANJU
   1682                   NA LOKALNIH VOLITVAH
   1683                   NA DRŽAVNIH VOLITVAH
   169U                   OBJAVA NA INTERNETU
   169V                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
   1690                   S TISKOM
   1691                   PREKO TELEVIZIJE
   1692                   NA JAVNEM SHODU
   1693                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠČANJA
   1694                   VRNITEV RAZŽALITVE
   1695                   ZOPER DRŽAVNI ORGAN
   1696                   ZOPER URADNO OSEBO
   1697                   ZOPER VOJAŠKO OSEBO
   1698                   ZOPER POLICISTA
   1699                   PREKO RADIA
   170U                   OBJAVA NA INTERNETU
   170V                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
   1700                   S TISKOM
   1701                   PREKO RADIA
   1702                   PREKO TELEVIZIJE
   1703                   NA JAVNEM SHODU
   1704                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠČANJA
   1705                   ZOPER DRŽAVNI ORGAN
   1706                   ZOPER URADNO OSEBO
   1707                   ZOPER VOJAŠKO OSEBO
   1708                   ZOPER POLICISTA
   171U                   OBJAVA NA INTERNETU
   171V                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
   1710                   S TISKOM
   1711                   PREKO RADIA
   1712                   PREKO TELEVIZIJE
   1713                   NA JAVNEM SHODU
   1714                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠČANJA
   1715                   ZOPER DRŽAVNI ORGAN
   1716                   ZOPER URADNO OSEBO
   1717                   ZOPER VOJAŠKO OSEBO
   1718                   ZOPER POLICISTA
   172U                   OBJAVA NA INTERNETU
   172V                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
   1720                   S TISKOM
   1721                   PREKO RADIA
   1722                   PREKO TELEVIZIJE
   1723                   NA JAVNEM SHODU
   1724                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠČANJA
   1725                   ZOPER DRŽAVNI ORGAN
   1726                   ZOPER URADNO OSEBO
   1727                   ZOPER VOJAŠKO OSEBO
   1728                   ZOPER POLICISTA
   173A                   NEPOSREDNO OČITANJE - O
   173B                   OČITANJE PREKO TRETJE OSEBE - O
   173U                   OBJAVA NA INTERNETU
   173V                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
   1730                   S TISKOM
   1731                   PREKO RADIA
   1732                   PREKO TELEVIZIJE
   1733                   NA JAVNEM SHODU
   1734                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠČANJA
   1735                   ZOPER DRŽAVNI ORGAN
   1736                   ZOPER URADNO OSEBO
   1737                   ZOPER VOJAŠKO OSEBO
   1738                   ZOPER POLICISTA
   174A                   ZOPER REPUBLIKO- O
   174B                   ZOPER PREDSEDNIKA REPUBLIKE- O
   174C                   ZOPER SIMBOLE DRŽAVE - O
   1741                   OBJAVA NA INTERNETU
   1742                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
   1743                   S TISKOM
   1744                   PREKO RADIA
   1745                   PREKO TELEVIZIJE
   1746                   NA JAVNEM SHODU
   1747                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠČANJA
   175A                   ZOPER DRŽAVO - O
   175B                   ZOPER ŠEFA DRŽAVE - O
   175C                   ZOPER DIPLOMATSKEGA PREDSTAVNIKA DRŽAVE - O
   175D                   ZOPER SIMBOLE DRŽAVE - O
   175E                   ZOPER MEDNARODNO ORGANIZACIJO - O
   1751                   OBJAVA NA INTERNETU
   1752                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
   1753                   S TISKOM
   1754                   PREKO RADIA
   1755                   PREKO TELEVIZIJE
   1756                   NA JAVNEM SHODU
   1757                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠČANJA
   176A                   PROTI SLOVENSKEMU NARODU - O
   176B                   PROTI ITALIJANSKI NARODNI SKUPNOSTI- O
   176C                   PROTI MADŽARSKI NARODNI SKUPNOSTI- O
   1761                   OBJAVA NA INTERNETU
   1762                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
   1763                   S TISKOM
   1764                   PREKO RADIA
   1765                   PREKO TELEVIZIJE
   1766                   NA JAVNEM SHODU
   1767                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠČANJA
   180A                   UPORABA SILE - O
   180B                   GROŽNJA Z UPORABO SILE - O
   180C                   GROŽNJA S ŠKODO NA ČASTI IN DOBREMU IMENU - O
   180D                   GROŽNJA Z MATERIALNO ŠKODO - O
   180E                   GROZOVIT NAČIN - O
   180F                   POSEBNO PONIŽEVALEN NAČIN - O
   180G                   ZAPORNIKA V ČASU PRESTAJANJA KAZNI - O
   180H                   VEČ STORILCEV/ENA ŽRTEV(SKUPINSKO) - O
   180I                   VEČ STORILCEV/VEČ ŽRTEV(MNOŽIČNO) - O
   1801                   EN STORILEC/VEČ ŽRTEV/RAZLIČEN ČAS(SERIJSKO)
   181A                   UPORABA SILE - O
   181B                   GROŽNJA Z UPORABO SILE - O
   181C                   GROŽNJA S ŠKODO NA ČASTI IN DOBREMU IMENU - O
   181D                   GROŽNJA Z MATERIALNO ŠKODO - O
   181E                   GROZOVIT NAČIN - O
   181F                   POSEBNO PONIŽEVALEN NAČIN - O
   181G                   ZAPORNIKA V ČASU PRESTAJANJA KAZNI - O
   181H                   VEČ STORILCEV/ENA ŽRTEV(SKUPINSKO) - O
   181I                   VEČ STORILCEV/VEČ ŽRTEV(MNOŽIČNO) - O
   1811                   EN STORILEC/VEČ ŽRTEV/RAZLIČEN ČAS(SERIJSKO)
   1812                   ŽRTEV MORA AKTIVNO RAVNATI
   1813                   ŽRTEV MORA PASIVNO RAVNATI
   182A                   SPOLNO OBČEVANJE - O
   182B                   DRUGO SPOLNO DEJANJE - O
   182C                   DUŠEVNA BOLEZEN ŽRTVE - O
   182D                   ZAČASNO DUŠEVNO MOTENA ŽRTEV - O
   182E                   HUJŠA DUŠEVNA ZAOSTALOST ŽRTVE - O
   182F                   DRUGA FIZIČNA/PSIHIČNA NEZMOŽNOST OBRAMBE - O
   1821                   ŽRTEV MORA AKTIVNO RAVNATI
   1822                   ŽRTEV MORA PASIVNO RAVNATI
   183A                   SPOLNO OBČEVANJE - O
   183B                   DRUGO SPOLNO DEJANJE - O
   183C                   DUŠEVNA BOLEZEN ŽRTVE - O
   183D                   ZAČASNO DUŠEVNO MOTENA ŽRTEV - O
   183E                   HUJŠA DUŠEVNA ZAOSTALOST ŽRTVE - O
   183F                   DRUGA FIZIČNA/PSIHIČNA NEZMOŽNOST OBRAMBE - O
   183G                   UPORABA SILE - O
   183H                   GROŽNJA Z UPORABO SILE - O
   1831                   ŽRTEV MORA AKTIVNO RAVNATI
   1832                   ŽRTEV MORA PASIVNO RAVNATI
   184A                   SPOLNO OBČEVANJE - O
   184B                   DRUGO SPOLNO DEJANJE - O
   184C                   ŽRTEV MORA AKTIVNO RAVNATI - O
   184D                   ŽRTEV MORA PASIVNO RAVNATI - O
   1850                   PONUDBA PREKO INTERNETA
   1851                   PONUDBA PREKO ELEKTRONSKIH OGLASNIH DESK
   1852                   PONUDBA PREKO TISKA
   1853                   PONUDBA PREKO TELEFONA(VROČE LINIJE)
   1854                   POULIČNA PROSTITUCIJA
   1855                   PROSTITUCIJA NA DOMU STRANK
   1856                   PROSTITUCIJA V LOKALIH, HOTELIH...
   1857                   PROSTITUCIJA V STANOVANJIH
   1858                   PLAČILO PROSTITUTKI
   1859                   PLAČILO ZVODNIKU
   186A                   PRIDOBIVANJE OSEB ZA PROSTITUIRANJE - O
   186B                   SODELOVANJE PRI PRIDOBIVANJU OSEB ZA PROSTITUIRANJE - O
   186C                   Z UPORABO SILE - O
   186D                   Z GROŽNJO - O
   186E                   S PRESLEPITVIJO - O
   1860                   NOVAČENJE PREKO INTERNETA
   1861                   NOVAČENJE PREKO ELEKTRONSKIH OGLASNIH DESK
   1862                   NOVAČENJE PREKO TISKA
   1863                   NOVAČENJE PREKO PROSTITUTK
   1864                   NOVAČENJE PREKO ZVODNIKOV
   1865                   NOVAČENJE PREKO AGENCIJ
   1866                   ZA POULIČNO PROSTITUCIJO
   1867                   ZA PROSTITUCIJO NA DOMU STRANK
   1868                   ZA PROSTITUCIJO V LOKALIH, HOTELIH...
   1869                   ZA PROSTITUCIJO V STANOVANJIH
   187A                   PRODAJA - O
   187B                   PRIKAZOVANJE - O
   187C                   JAVNO RAZSTAVLJANJE - O
   187D                   PORNOGRAFSKA PREDSTAVA - O
   187E                   ZLORABA ZA IZDELAVO SLIK - O
   187F                   ZLORABA ZA IZDELAVO AVDIO/VIDEO ZAPISOV - O
   187G                   ZLORABA ZA PORNOGRAFSKO PREDSTAVO - O
   1871                   NA INTERNETU
