   KDKO                   KD - KRIMINALISTIČNA OZNAČBA
   282B                   IZROČITEV PODATKOV - O
   282C                   DRUGAČNO OMOGOČANJE DOSTOPA DO PODATKOV - O
   282D                   ZBIRANJE PODATKOV Z NAMENOM IZROČITVE - O
   282E                   PRIDOBITEV PODATKOV - O
   282F                   JAVNA OBJAVA PODATKOV - O
   282G                   IZ KORISTOLJUBJA - O
   282H                   Z NAMENOM OBJAVE - O
   282I                   ZA UPORABO V TUJINI - O
   282J                   POSLEDICE SO DEJANSKO NASTALE - O
   282K                   POSLEDICE BI LAHKO NASTALE - O
   285A                   NENAZNANJENO DEJANJE JE OSTALO PRI POSKUSU - O
   285B                   NENAZNANJENO DEJANJE JE BILO DOKONČANO - O
   286A                   VE ZA STORILCA - O
   286B                   VE ZA DEJANJE - O
   287A                   SKRIVANJE STORILCA - O
   287B                   SKRIVANJE ORODJA, PREDMETOV... - O
   287C                   SKRIVANJE SLEDOV - O
   287D                   DRUGAČNO PREPREČEVANJE ODKRITJA STORILCA - O
   287E                   SKRIVANJE OBSOJENCA - O
   289A                   PRED SODIŠČEM - O
   289B                   V KAZENSKEM POSTOPKU - O
   289C                   V POSTOPKU O PREKRŠKU - O
   289D                   V PARLAMENTARNI PREISKAVI - O
   289E                   V DISCIPLINSKEM POSTOPKU - O
   289F                   V UPRAVNEM POSTOPKU - O
   289G                   V PRAVDNEM POSTOPKU - O
   289H                   V NEPRAVDNEM POSTOPKU - O
   289I                   V IZVRŠILNEM POSTOPKU - O
   289J                   KRIVA IZPOVEDBA - O
   289K                   KRIVO PISNO MNENJE - O
   289L                   LAŽNI PISNI PREVOD - O
   290A                   PREPREČITEV DOKAZOVANJA - O
   290B                   OTEŽITEV DOKAZOVANJA - O
   290C                   SKRITJE - O
   290D                   UNIČENJE - O
   290E                   ODSTRANITEV - O
   290F                   POŠKODOVANJE - O
   290G                   PREMIK, PRESTAVITEV - O
   290H                   DRUGAČNA POVZROČITEV NERABNOSTI - O
   291A                   V POSTOPKU PRED OBRAVNAVO - O
   291B                   V OBRAVNAVI - O
   291C                   V SODNEM POSTOPKU - O
   291D                   V POSTOPKU O PREKRŠKU - O
   291E                   V UPRAVNEM POSTOPKU - O
   291F                   V PARLAMENTARNI PREISKAVI - O
   291G                   POTEK POSTOPKA PROTI MLADOLETNIKU - O
   291H                   OBJAVA MLADOLETNIKOVIH PODATKOV - O
   291I                   TAJNOST DOLOČENA Z ZAKONOM - O
   291J                   TAJNOST DOLOČENA Z ODLOČBO - O
   294A                   UPORABA SILE - O
   294B                   UPORABA GROŽNJE - O
   294C                   ZOPER ŽIVLJENJE - O
   294D                   ZOPER TELO - O
   294E                   BEG IZ ZAPORA - O
   294F                   BEG IZ PRIPORA - O
   295A                   NAMEN OSVOBODITVE - O
   295B                   NAMEN NAPADA - O
   295C                   S SILO - O
   295D                   Z GROŽNJO O UPORABI SILE - O
   295E                   PAZNIKI MORAJO KAJ STORITI - O
   295F                   PAZNIKI MORAJO KAJ OPUSTITI - O
   295G                   SILA JE BILA DEJANSKO UPORABLJENA - O
   295H                   GROŽNJA JE BILA DEJANSKO UPORABLJENA - O
   296A                   Z UPORABO SILE - O
   296B                   Z UPORABO GROŽNJE - O
   296C                   S PRESLEPITVIJO - O
   296D                   DRUGAČE OMOGOČEN BEG - O
   296E                   ZAPORNIKU - O
   296F                   PRIPORNIKU - O
   296G                   OBSOJENCU IZ PSIHIATRIČNEGA ZDRAVLJENJA - O
   296H                   OBSOJENCU IZ ZDRAVSTVENEGA ZAVODA - O
   296I                   MLADOLETNIKU IZ PREVZGOJNEGA DOMA - O
   2971                   ZDRUŽBA Z NOTRANJO ORGANIZACIJO
   2972                   ZDRUŽBA POVEZANA Z DRUGIMI ZDRUŽBAMI ZNOTRAJ RS
   2973                   MEDNARODNA ZDRUŽBA
   2981                   BREZ POSEBNEGA NAČRTOVANJA
   2982                   S PODROBNIM NAČRTOVANJEM
   299A                   Z ŽALITVIJO - O
   299B                   Z GRDIM RAVNANJEM - O
   299C                   Z NASILJEM - O
   299D                   Z OGROŽANJEM VARNOSTI - O
   299E                   POVZROČITEV LAHKE TELESNE POŠKODBE - O
   299F                   POVZROČENO ZGRAŽANJE JAVNOSTI - O
   299G                   POVZROČEN STRAH V JAVNOSTI - O
   299H                   DVA ALI VEČ STORILCEV - O
   299I                   VEČ ŽRTEV - O
   300A                   NARODNOSTNO - O
   300B                   RASNO - O
   300C                   VERSKO - O
   300D                   "ARIJSKEGA" TIPA - O
   300E                   S PRISILO - O
   300F                   Z GRDIM RAVNANJEM - O
   300G                   Z OGROŽANJEM VARNOSTI - O
   300H                   S SRAMOTITVIJO SIMBOLOV - O
   300I                   S POŠKODOVANJEM TUJIH STVARI - O
   300J                   Z OSKRUNITVIJO SPOMENIKOV, ZNAMENJ, GROBOV - O
   301A                   NASILJE PROTI LJUDEM - O
   301B                   UNIČENJE/POŠKODOVANJE PREMOŽENJA - O
   301C                   POSKUS DEJANJA - O
   301D                   ŽRTEV JE BILA UBITA - O
   301E                   ŽRTEV JE BILA HUDO TELESNO POŠKODOVANA - O
   302A                   S SILO - O
   302B                   Z GROŽNJO O UPORABI SILE - O
   302C                   Z GROŽNJO O UPORABI OROŽJA - O
   302D                   Z RAZŽALITVIJO - O
   302E                   Z GRDIM RAVNANJEM - O
   302F                   S PRIZADEJANJEM LAHKE TELESNE POŠKODBE - O
   302G                   URADNA OSEBA MORA OPRAVITI DEJANJE - O
   302H                   URADNA OSEBA NE MORE OPRAVITI DEJANJA - O
   302I                   PREPREČITEV NALOGE JAVNE VARNOSTI - O
   302J                   PREPREČITEV NALOGE DRŽAVNE VARNOSTI - O
   302K                   PREPREČITEV ZASLEDOVANJA STORILCA - O
   302L                   PREPREČITEV VAROVANJA OSEBE, KI JI JE ODVZETA PROSTOST - O
   303A                   Z NAPADOM - O
   303B                   Z RESNO GROŽNJO O NAPADU - O
   303C                   Z GROŽNJO O UPORABI OROŽJA - O
   303D                   Z GRDIM RAVNANJEM - O
   303E                   S PRIZADEJANJEM LAHKE TELESNE POŠKODBE - O
   303F                   ZOPER OSEBO, KI POMAGA URADNI OSEBI - O
   303G                   ZOPER VEČ OSEB HKRATI - O
   303H                   PRI IZVAJANJU NALOG JAVNE VARNOSTI - O
   303I                   PRI IZVAJANJU NALOG DRŽAVNE VARNOSTI - O
   304A                   DOKONČANO DEJANJE - O
   304B                   POSKUS DEJANJA - O
   304C                   URADNA OSEBA MORA OPRAVITI DEJANJE - O
   304D                   URADNA OSEBA NE MORE OPRAVITI DEJANJA - O
   305A                   PROTI DRŽAVNEMU ORGANU - O
   305B                   PROTI URADNI OSEBI - O
   305C                   UKREP/ODLOČBA NI BIL IZVRŠEN - O
   305D                   ZNATNA OTEŽITEV IZVEDBE UKREPA/ODLOČBE - O
   305E                   DEJANJE JE STORIL VODJA SKUPINE - O
   3051                   NA JAVNEM ZBOROVANJU
   3052                   S SREDSTVI JAVNEGA OBVEŠČANJA
   3053                   Z GRAFITI
   306A                   ODSTRANITEV PEČATA/ZNAMENJA - O
   306B                   POŠKODOVANJE PEČATA/ZNAMENJA - O
   306C                   VSTOP V PROSTOR BREZ ODSTRANITVE/POŠKODOVANJA - O
   306D                   ZAVAROVAN PREDMET - O
   306E                   ZAVAROVAN PROSTOR - O
   3061                   PEČAT/ZNAMENJE POLICIJE
   3062                   PEČAT/ZNAMENJE DRUGIH ORGANOV
   307A                   ODVZEM - O
   307B                   SKRITJE - O
   307C                   UNIČENJE - O
   307D                   POŠKODOVANJE - O
   307E                   DRUGAČE POVZROČENA NERABNOST - O
   307F                   NA ŠKODO DRŽAVNEGA ORGANA - O
   307G                   NA ŠKODO GOSPODARSKE DRUŽBE - O
   307H                   NA ŠKODO PRAVNE OSEBE Z JAVNIMI POOBLASTILI - O
   307I                   NA ŠKODO POSAMEZNIKA Z JAVNIMI POOBLASTILI - O
   308A                   ZARADI PRIDOBITVE KORISTI - O
   308B                   ZARADI POVZROČITVE ŠKODE - O
   308C                   ZA POLICISTA - O
   308D                   ZA CARINIKA - O
   308E                   ZA VOJAŠKO OSEBO - O
   308F                   ZA DRUGO URADNO OSEBO - O
   308G                   NOŠNJA ZNAMENJ POLICISTA - O
   308H                   NOŠNJA ZNAMENJ CARINIKA - O
   308I                   NOŠNJA ZNAMENJ VOJAŠKE OSEBE - O
   308J                   NOŠNJA ZNAMENJ DRUGE URADNE OSEBE - O
   308K                   OPRAVA URADNEGA DEJANJA POLICISTA - O
   308L                   OPRAVA URADNEGA DEJANJA CARINIKA - O
   308M                   OPRAVA URADNEGA DEJANJA VOJAŠKE OSEBE - O
   308N                   OPRAVA URADNEGA DEJANJA DRUGE URADNE OSEBE - O
   309A                   IZDELAVA - O
   309B                   PRIDOBIVANJE - O
   309C                   PRODAJA - O
   309D                   DRUGAČNO OMOGOČANJE PRIDOBITVE DRUGIM - O
   310A                   IZDELAVA - O
   310B                   PRODAJA - O
   310C                   PRIDOBIVANJE - O
   310D                   MENJAVA ZA DRUGO OROŽJE - O
   310E                   MENJAVA ZA DRUGO STVAR - O
   310F                   VNOS V DRŽAVO - O
   310G                   NEDOVOLJENIH BOJNIH SREDSTEV - O
   310H                   BOJNIH SREDSTEV Z OMEJITVAMI - O
   310I                   V VELIKI KOLIČINI - O
   310J                   V VELIKI VREDNOSTI - O
   310K                   VELIKA NEVARNOST - O
   310L                   HRAMBA - O
   3101                   IZDELAVA DOMA
   3102                   IZDELAVA V PODJETJU
   3103                   PRODAJA V RS
   3104                   PRODAJA V TUJINO
   311A                   PRESTOP - O
   311B                   POSKUS PRESTOPA - O
   311C                   OBOROŽEN - O
   311D                   S SILO - O
   311E                   TRAJNO TIHOTAPLJENJE LJUDI - O
   311F                   ENKRATNO TIHOTAPLJENJE LJUDI IZ KORISTOLJUBJA - O
   311G                   TIHOTAPLJENJE LJUDI V ORGANIZIRANI SKUPINI - O
   3111                   S SODELOVANJEM URADNE OSEBE
   3112                   ORGANIZATOR
   3113                   VODNIK
   3114                   PREVOZNIK
   3115                   IZ HUMANITARNIH NAMENOV
   312A                   ZNAMENJA ZA POMOČ - O
   312B                   ZNAMENJA ZA NEVARNOST - O
   312C                   UKREPANJE PRISTOJNIH BREZ POTREBE - O
   313A                   VZETJE PRAVICE - O
   313B                   VZETJE NAMIŠLJENE PRAVICE - O
   313C                   S SILO - O
   313D                   Z RESNO GROŽNJO Z NAPADOM NA ŽIVLJENJE - O
   313E                   Z RESNO GROŽNJO Z NAPADOM NA TELO - O
   314A                   OVIRANJE - O
   314B                   PREPREČITEV - O
   315A                   UNIČENJE GROBA (PREKOPANJE, RAZDIRANJE...) - O
   315B                   UNIČENJE VEČ GROBOV HKRATI - O
   315C                   DVA ALI VEČ STORILCEV - O
   316A                   SKRITJE - O
   316B                   PRISVOJITEV - O
   316C                   POŠKODOVANJE - O
   316D                   UNIČENJE - O
   316E                   DRUGAČNA OSKRUNITEV - O
   317A                   S POŽAROM - O
   317B                   S POVODNIJO - O
   317C                   Z EKSPLOZIJO - O
   317D                   S STRUPOM - O
   317E                   S STRUPENIM PLINOM - O
   317F                   Z IONIZIRAJOČIM SEVANJEM - O
   317G                   Z MOTORNO SILO - O
   317H                   Z ELEKTRIČNO ENERGIJO - O
   317I                   Z DRUGO ENERGIJO - O
   317J                   Z DRUGIM SPLOŠNO NEVARNIM DEJANJEM/SREDSTVOM - O
   317K                   Z OPUSTITVIJO DOLŽNEGA RAVNANJA - O
   317L                   POVZROČENA NEVARNOST ZA ŽIVLJENJE - O
   317M                   POVZROČENA NEVARNOST ZA PREMOŽENJE - O
   317N                   POVZROČENA SMRT - O
   317O                   POVZROČENA HUDA TELESNA POŠKODBA - O
   317P                   POVZROČENA VELIKA PREMOŽENJSKA ŠKODA - O
   3171                   PRI POSKUSU SAMOMORA
   3172                   Z NEZGODO PRI DELU
   318A                   RAVNANJE V NASPROTJU S PREDPISI - O
   318B                   RAVNANJE V NASPROTJU S TEHNIČNIMI PRAVILI - O
   318C                   POVZROČENA NEVARNOST ZA ŽIVLJENJE - O
   318D                   POVZROČENA NEVARNOST ZA PREMOŽENJE - O
   318E                   POVZROČENA SMRT - O
   318F                   POVZROČENA HUDA TELESNA POŠKODBA - O
   318G                   POVZROČENA VELIKA PREMOŽENJSKA ŠKODA - O
   319A                   RAVNANJE V NASPROTJU S PREDPISI - O
   319B                   RAVNANJE V NASPROTJU S TEHNIČNIMI PRAVILI - O
   319C                   PRI POSESTI - O
   319D                   PRI UPORABI - O
   319E                   Z ODLOŽITVIJO - O
   319F                   PRI PREVOZU - O
   319G                   PRI DRUGAČNEM RAZPOLAGANJU - O
   319H                   PROTIPRAVNA PRIDOBITEV - O
   319I                   PROTIPRAVNA POSEST - O
   319J                   PROTIPRAVNA ODLOŽITEV - O
   319K                   PROTIPRAVNA UPORABA - O
   319L                   PROTIPRAVEN PREVOZ - O
   319M                   PROTIPRAVNO IZROČANJE DRUGEMU - O
   319N                   POVZROČENA SMRT - O
   319O                   POVZROČENA HUDA TELESNA POŠKODBA - O
   319P                   POVZROČENA VELIKA PREMOŽENJSKA ŠKODA - O
   320A                   UNIČENJE - O
   320B                   POŠKODOVANJE - O
   320C                   ODSTRANITEV - O
   320D                   MOTNJE V PRESKRBI PREBIVALSTVA - O
   320E                   MOTNJE V PRESKRBI GOSPODARSTVA - O
   321A                   PREVOZ - O
   321B                   ODDAJA ZA PREVOZ Z JAVNIM PROM. SREDSTVOM - O
   321C                   OSEBNI PRENOS PRI PREVOZU Z JAVNIM PROM. SREDSTVOM - O
   322A                   KLIC NA POMOČ - O
   322B                   ZNAMENJE ZA NEVARNOST - O
   322C                   PRESLEPITEV O PODANI VARNOSTI - O
   322D                   DRUGE ZLORABE - O
   323A                   NE NAZNANI - O
   323B                   NE ODVRNE - O
   323C                   NE BI OGROZIL SEBE - O
   323D                   NE BI OGROZIL KOGA DRUGEGA - O
   323E                   OB POŽARU - O
   323F                   OB POVODNJI - O
   323G                   OB EKSPLOZIJI - O
   323H                   OB PROMETNI NESREČI - O
   323I                   OB EKOLOŠKI NESREČI - O
   323J                   NEVARNOST ZA ŽIVLJENJE LJUDI - O
   323K                   NEVARNOST ZA PREMOŽENJE VEČJE VREDNOSTI - O
   323L                   NEVARNOST ZA ČEZMERNO OBREMENITEV OKOLJA - O
   323M                   PREPREČITEV DEJANJA S SILO - O
   323N                   PREPREČITEV DEJANJA Z GROŽNJO - O
   323O                   PREPREČITEV S PRESLEPITVIJO - O
   324A                   PRI ODVRAČANJU - O
   324B                   PRI ODPRAVLJANJU POSLEDIC - O
   326A                   ŽELEZNIŠKI PROMET - O
   326B                   LADIJSKI PROMET - O
   326C                   ZRAČNI PROMET - O
   326D                   PROMET NA ŽIČNICAH - O
   326E                   AVTOBUSNI PROMET - O
   327A                   UNIČENJE NAPRAV... - O
   327B                   POŠKODOVANJE NAPRAV... - O
   327C                   DAJANJE NAPAČNIH SIGNALOV/ZNAMENJ - O
   327D                   POSTAVLJANJE OVIR - O
   327E                   DRUGE OBLIKE OGROŽANJA - O
   327F                   POVZROČENA NEVARNOST ZA ŽIVLJENJE - O
   327G                   POVZROČENA NEVARNOST ZA PREMOŽENJE - O
   327H                   POVZROČENA SMRT - O
   327I                   POVZROČENA HUDA TELESNA POŠKODBA - O
   327J                   POVZROČENA VELIKA PREMOŽENJSKA ŠKODA - O
   328A                   PRI NADZORU VZDRŽEVANJA CESTNIH OBJEKTOV - O
   328B                   PRI NADZORU PROMETNIH SREDSTEV - O
   328C                   PRI NADZORU JAVNEGA PROMETA - O
   328D                   PRI VODENJU/USMERJANJU VOŽNJE - O
   328E                   POVZROČENA NEVARNOST ZA ŽIVLJENJE - O
   328F                   POVZROČENA NEVARNOST ZA PREMOŽENJE - O
   328G                   IZDAJA NALOGA NEZMOŽNEMU VOZNIKU - O
   328H                   IZDAJA NALOGA ZA VOZILO S HIBAMI - O
   328I                   POVZROČENA SMRT - O
   328J                   POVZROČENA HUDA TELESNA POŠKODBA - O
   328K                   POVZROČENA VELIKA PREMOŽENJSKA ŠKODA - O
   329A                   POŠKODBA S PROMETNIM SREDSTVOM - O
   329B                   POŠKODBA ZARADI PROMETNEGA SREDSTVA - O
   329C                   POVZROČENA SMRT - O
   329D                   POVZROČENA HUDA TELESNA POŠKODBA - O
   330A                   S SILO - O
   330B                   Z RESNO GROŽNJO O UPORABI SILE - O
   330C                   LETALO - O
   330D                   LADJA - O
   331A                   OGROŽANJE VARNOSTI LETA LETALA - O
   331B                   PODTAKNITEV V LETALO, KI LETI - O
   331C                   POSEDOVANJE PRI SEBI V LETALU, KO LETI - O
   331D                   UNIČENJE NAVIGACIJSKIH NAPRAV OB LETU - O
   331E                   POŠKODOVANJE NAVIGACIJSKIH NAPRAV OB LETU - O
   331F                   POVZROČITEV DRUGE ŠKODE OB LETU - O
   331G                   DAJANJE KRIVIH OBVESTIL V ZVEZI Z LETOM - O
   331H                   OGROŽANJE VARNOSTI NA LETALIŠČU - O
   331I                   S SILO NA LETALIŠČU - O
   331J                   Z GROŽNJO O UPORABI SILE NA LETALIŠČU - O
   331K                   UNIČENJE LETALA NA LETALIŠČU - O
   331L                   POŠKODOVANJE LETALA NA LETALIŠČU - O
   331M                   POŠKODOVANJE VARNOSTNIH NAPRAV NA LETALIŠČU - O
   331N                   UNIČENJE VARNOSTNIH NAPRAV NA LETALIŠČU - O
   331O                   UNIČENJE LETALIŠČA - O
   331P                   POVZROČENA SMRT - O
   332A                   UNIČENJE - O
   332B                   POŠKODOVANJE - O
   332C                   ODSTRANITEV - O
   333A                   ČEZMERNO ONESNAŽENJE OKOLJA - O
   333B                   RAZVREDNOTENJE OKOLJA - O
   333C                   ČEZMERNA RABA NARAVNIH DOBRIN - O
   333D                   ČEZMERNO IZKORIŠČANJE NARAVNIH DOBRIN - O
   333E                   POVZROČENA NEVARNOST ZA ŽIVLJENJE - O
   333F                   POVZROČENA NEVARNOST ZA ZDRAVJE - O
   333G                   POVZROČENA NEVARNOST ZA DELNO POŠKODBO OKOLJA - O
   333H                   POVZROČENA NEVARNOST ZA POPOLNO POŠKODBO OKOLJA - O
   333I                   POVZROČENA NEVARNOST ZA UNIČENJE OKOLJA - O
   333J                   POSLABŠANJE ZDRAVJA - O
   333K                   DELNO UNIČENJE ŽIVALSKEGA SVETA - O
   333L                   POPOLNO UNIČENJE ŽIVALSKEGA SVETA - O
   333M                   DELNO UNIČENJE RASTLINSKEGA SVETA - O
   333N                   POPOLNO UNIČENJE RASTLINSKEGA SVETA - O
   333O                   DELNO UNIČENJE ZAJEMALIŠČ PITNE VODE - O
   333P                   POPOLNO UNIČENJE ZAJEMALIŠČ PITNE VODE - O
   333R                   DRUGA HUDA POŠKODBA OKOLJA - O
   333S                   PONAVLJAJOČA KRITIČNA ONESNAŽENOST - O
   333T                   PONAVLJAJOČE KRITIČNO RAZVREDNOTENJE OKOLJA - O
   334A                   VOŽNJA - O
   334B                   PRIREJANJE TRENINGA - O
   334C                   PRIREJANJE TEKMOVANJA - O
   335A                   Z ZLORABO POLOŽAJA - O
   335B                   Z ZLORABO POOBLASTILA - O
   335C                   VNOS - O
   335D                   OMOGOČANJE VNOSA - O
   3351                   S PRESLEPITVIJO URADNE OSEBE
   3352                   Z LAŽNIM DEKLARIRANJEM
   3353                   S SODELOVANJEM URADNE OSEBE
   3354                   IZVEN MEJNE KONTROLE
   3355                   LAŽNI TRANZIT
   336A                   ODLAGANJE - O
   336B                   SKLADIŠČENJE - O
   336C                   ZAVRŽENJE - O
   336D                   NEVARNOST ZA ZDRAVJE - O
   336E                   NEVARNOST ZA ŽIVLJENJE - O
   336F                   NEVARNOST ZA OKOLJE - O
   337A                   POVZROČENA NEVARNOST ZA ZDRAVJE LJUDI - O
   337B                   POVZROČENA NEVARNOST ZA ŽIVLJENJE LJUDI - O
   337C                   POVZROČENA SMRT LJUDI - O
   337D                   POVZROČENA HUDA TELESNA POŠKODBA - O
   337E                   POVZROČENA NEVARNOST ZA ZDRAVJE ŽIVINE - O
   337F                   POVZROČENA NEVARNOST ZA ŽIVLJENJE ŽIVINE - O
   337G                   POVZROČEN POGIN ŽIVALI VEČJE VREDNOSTI - O
   337H                   POVZROČEN POGIN VEČJEGA ŠTEVILA ŽIVALI - O
   338A                   POVZROČEN POGIN VEČJEGA ŠTEVILA ŽIVALI - O
   3381                   ONESNAŽENJE ŽIVIL - O
   3382                   ONESNAŽENJE KRME - O
   3383                   POVZROČENA NEVARNOST ZA ZDRAVJE LJUDI - O
   3384                   POVZROČENA NEVARNOST ZA ŽIVLJENJE LJUDI - O
   3385                   POVZROČENA SMRT LJUDI - O
   3386                   POVZROČENA HUDA TELESNA POŠKODBA LJUDI - O
   3387                   POVZROČENA NEVARNOST ZA ZDRAVJE ŽIVINE - O
   3388                   POVZROČENA NEVARNOST ZA ŽIVLJENJE ŽIVINE - O
   3389                   POVZROČEN POGIN ŽIVALI VEČJE VREDNOSTI - O
   339A                   ZA IZKORIŠČANJE - O
   339B                   ZA GRADNJO - O
   341A                   KRČENJE V VEČJEM OBSEGU - O
   341B                   SEKANJE NA GOLO - O
   341C                   DRUGAČNO UNIČENJE - O
   341D                   V VAROVALNEM GOZDU - O

   341E                   V GOZDU S POSEBNIM POMENOM - O
   341F                   DRŽAVNI GOZD - O
   341G                   ZASEBNI GOZD - O
   342A                   SUROVO RAVNANJE - O
   342B                   POVZROČANJE NEPOTREBNEGA TRPLJENJA - O
   343A                   UBITJE - O
   343B                   RANITEV - O
   343C                   UJETJE - O
   343D                   DIVJAD VEČJE VREDNOSTI - O
   343E                   DIVJAD POMEMBNA PO PREDPISIH O LOVSTVU - O
   343F                   PREPOVEDANA DIVJAD (OGROŽENE VRSTE) - O
   343G                   BREZ POSEBNEGA DOVOLJENJA ZA DOLOČENO DIVJAD - O
   343H                   S SREDSTVOM/NAČINOM ZA MNOŽIČNO POKONČEVANJE - O
   343I                   S POMOČJO MOTORNEGA VOZILA - O
   343J                   S POMOČJO ŽAROMETA - O
   343K                   V ČASU OMEJITVE LOVA - O
   343L                   V SKUPINI - O
   344A                   POVZROČITEV POGINA - O
   344B                   ŠKODLJIVOST ZA RAZMNOŽEVANJE - O
   345A                   NEVARNOST ZA REJO ŽIVALI - O
   345B                   NEVARNOST ZA RASTLINSKI SVET - O
   345C                   RAZŠIRITEV KUŽNE BOLEZNI ŽIVALI - O
   345D                   RAZŠIRITEV RASTLINSKIH ŠKODLJIVCEV - O
   346A                   IZDELAVA ZA PRODAJO - O
   346B                   RAZPEČEVANJE - O
   346C                   POGIN ŽIVALI VEČJE VREDNOSTI - O
   346D                   POGIN VEČJEGA ŠTEVILA ŽIVALI - O
   346E                   RAZŠIRITEV KUŽNE BOLEZNI - O
   348A                   S SILO - O
   348B                   Z GROŽNJO O UPORABI SILE - O
   348C                   OGROŽANJE OBSTOJA RS - O
   348D                   POSKUS SPREMEMBE USTAVNE UREDITVE RS - O
   348E                   POSKUS STRMOGLAVLJENJA NAJVIŠJIH DRŽAVNIH ORGANOV RS - O
   349A                   S SILO - O
   349B                   Z GROŽNJO O UPORABI SILE - O
   349C                   ODCEPITEV DELA OZEMLJA RS - O
   349D                   PRIPOJITEV DELA OZEMLJA RS DRUGI DRŽAVI - O
   350A                   SPRAVLJANJE V PODREJENOST - O
   350B                   SPRAVLJANJE V ODVISNOST - O
   351A                   OZEMLJE - O
   351B                   MORJE - O
   351C                   ZRAČNI PROSTOR - O
   352A                   OGROŽANJE USTAVNE UREDITVE RS - O
   352B                   OGROŽANJE VARNOSTI RS - O
   352C                   PREDSEDNIKA RS - O
   352D                   PREDSEDNIKA DRŽAVNEGA ZBORA RS - O
   352E                   PREDSEDNIKA DRŽAVNEGA SVETA RS - O
   352F                   PREDSEDNIKA VLADE RS - O
   352G                   PREDSEDNIKA USTAVNEGA SODIŠČA RS - O
   352H                   PREDSEDNIKA VRHOVNEGA SODIŠČA RS - O
   352I                   POSLANCA - O
   352J                   DRŽAVNEGA SVETNIKA - O
   352K                   ČLANA VLADE - O
   352L                   SODNIKA USTAVNEGA SODIŠČA - O
   352M                   SODNIKA VRHOVNEGA SODIŠČA - O
   352N                   PREISKOVALNEGA SODNIKA - O
   352O                   RAZSOJAJOČEGA SODNIKA - O
   352P                   DRŽAVNEGA TOŽILCA - O
   352R                   ZASTOPNIKA DRŽAVNEGA TOŽILCA - O
   353A                   OGROŽANJE USTAVNE UREDITVE RS - O
   353B                   OGROŽANJE VARNOSTI RS - O
   353C                   Z UGRABITVIJO - O
   353D                   NASILJE ZOPER NJEGA - O
   353E                   NASILJE ZOPER NJEGOVE BLIŽNJE - O
   353F                   NAPAD NJEGOVIH URADNIH PROSTOROV - O
   353G                   NAPAD NJEGOVEGA ZASEBNEGA STANOVANJA - O
   353H                   NAPAD NJEGOVEGA PREVOZNEGA SREDSTVA - O
   353I                   PREDSEDNIKA RS - O
   353J                   PREDSEDNIKA DRŽAVNEGA ZBORA RS - O
   353K                   PREDSEDNIKA DRŽAVNEGA SVETA RS - O
   353L                   PREDSEDNIKA VLADE RS - O
   353M                   PREDSEDNIKA USTAVNEGA SODIŠČA RS - O
   353N                   PREDSEDNIKA VRHOVNEGA SODIŠČA RS - O
   353O                   POSLANCA - O
   353P                   DRŽAVNEGA SVETNIKA - O
   353R                   ČLANA VLADE - O
   353S                   SODNIKA USTAVNEGA SODIŠČA - O
   353T                   SODNIKA VRHOVNEGA SODIŠČA - O
   353U                   PREISKOVALNEGA SODNIKA - O
   353V                   RAZSOJAJOČEGA SODNIKA - O
   353X                   ZASTOPNIKA DRŽAVNEGA TOŽILCA - O
   353Z                   DRŽAVNEGA TOŽILCA - O
   354A                   ORGANIZIRANJE UPORA - O
   354B                   VODENJE UPORA - O
   354C                   SODELOVANJE V UPORU - O
   354D                   OGROŽANJE OBSTOJA RS - O
   354E                   SPREMEMBA USTAVNE UREDITVE RS - O
   354F                   STRMOGLAVLJENJE NAJVIŠJIH DRŽ. ORGANOV RS - O
   355A                   OGROŽANJE USTAVNE UREDITVE RS - O
   355B                   OGROŽANJE VARNOSTI RS - O
   355C                   Z EKSPLOZIJO - O
   355D                   S POŽAROM - O
   355E                   Z DRUGIM NEVARNIM DEJANJEM, NASILJEM - O
   355F                   GROŽNJA Z UPORABO JEDRSKE SNOVI - O
   355G                   GROŽNJA Z UPORABO DRUGIH SREDSTEV - O
   356A                   OGROŽANJE USTAVNE UREDITVE RS - O
   356B                   OGROŽANJE VARNOSTI RS - O
   356C                   EKSPLOZIJA - O
   356D                   POŽIG - O
   356E                   DRUGAČNO UNIČENJE - O
   356F                   DRUGAČNO POŠKODOVANJE - O
   356G                   NA ŠKODO VARNOSTI LJUDI - O
   356H                   NA ŠKODO PRESKRBE PREBIVALSTVA - O
   356I                   NA ŠKODO GOSPODARSTVA - O
   357A                   OGROŽANJE USTAVNE UREDITVE RS - O
   357B                   OGROŽANJE VARNOSTI RS - O
   357C                   V ŠKODO DELODAJALCA - O
   357D                   V ŠKODO DRUGEGA - O
   357E                   V JAVNO ŠKODO - O
   357F                   V ZASEBNO ŠKODO - O
   358A                   SLUŽENJE TUJI DRŽAVI/NJENI ORGANIZACIJI - O
   358B                   SLUŽENJE AGENTU TUJE DRŽAVE - O
   358C                   ZBIRANJE PODATKOV - O
   358D                   SPOROČANJE PODATKOV - O
   358E                   IZROČANJE PODATKOV - O
   358F                   OMOGOČANJE DOSTOPA DO PODATKOV - O
   358G                   ORGANIZIRANJE VOHUNSKE MREŽE - O
   358H                   VODENJE VOHUNSKE MREŽE - O
   358I                   VSTOP V TUJO OBVEŠČEVALNO SLUŽBO - O
   358J                   PODPIRANJE DELA TUJE OBVEŠČEVALNE SLUŽBE - O
