   KDSP                   KD - UPORABLJENO SREDSTVO - PREDMET KD
   416                    ZEMLJEMERSKO ZNAMENJE NA NEPREMIČNINI
   417                    ZEMLJEVID
   418                    ZGIBANKE
   419                    ZNAMENJE OZN
   420                    ZNAMENJE RDEČEGA KRIŽA
   421                    ZNANSTVENO DELO
   422                    ŽABE
   423                    ŽICA
   424                    ŽIČNE LAMELE
   425                    ŽIG
   426                    ŽIG PEČAT
   427                    ŽIGI PEČATI ŠTAMPILJKA
   428                    ŽIVALI
   429                    ŽIVINA
   430                    STROJNA OPREMA
   431                    DELI VOZILA
   433                    POTNI LIST
   434                    ŠPORTNA OPREMA (PRIPOMOČKI, REKVIZITI)
